PolygonID,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,SubPolygonID,PointID,Longitude,Latitude
1,9,Airport,small,Sahnewal,LUH,terminal,VILD,LUH,http://en.wikipedia.org/wiki/Sahnewal_Airport,8,1,1,75.95707224,30.85035986
2,9,Airport,mid,Solapur,SSE,terminal,VASL,SSE,http://en.wikipedia.org/wiki/Solapur_Airport,8,1,1,75.93305977,17.62541518
3,9,Airport,mid,Birsa Munda,IXR,terminal,VERC,IXR,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,8,1,1,85.32359704,23.3177246
4,9,Airport,mid,Ahwaz,AWZ,terminal,OIAW,AWZ,http://en.wikipedia.org/wiki/Ahwaz_Airport,8,1,1,48.74710654,31.34315856
5,9,Airport,mid and military,Gwalior,GWL,terminal,VIGR,GWL,http://en.wikipedia.org/wiki/Gwalior_Airport,8,1,1,78.21721865,26.2854877
6,9,Airport,mid,Hodeidah Int'l,HOD,terminal,OYHD,HOD,http://en.wikipedia.org/wiki/Hodeida_International_Airport,8,1,1,42.9710963,14.75525344
7,9,Airport,mid,Devi Ahilyabai Holkar Int'l,IDR,terminal,VAID,IDR,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,8,1,1,75.8092915,22.72774919
8,9,Airport,mid,Gandhinagar,ISK,ramp,VANR,ISK,http://en.wikipedia.org/wiki/Gandhinagar_Airport,8,1,1,73.81056749,19.96602057
9,9,Airport,major and military,Chandigarh Int'l,IXC,terminal,VICG,IXC,http://en.wikipedia.org/wiki/Chandigarh_Airport,8,1,1,76.80172611,30.67072489
10,9,Airport,mid,Aurangabad,IXU,terminal,VAAU,IXU,http://en.wikipedia.org/wiki/Aurangabad_Airport,8,1,1,75.39584329,19.86729696
11,9,Airport,mid and military,Faisalabad Int'l,LYP,terminal,OPFA,LYP,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,8,1,1,72.98781909,31.36274355
12,9,Airport,mid,Omsk Tsentralny,OMS,terminal,UNOO,OMS,http://en.wikipedia.org/wiki/Omsk_Tsentralny_Airport,8,1,1,73.31635954,54.95764829
13,9,Airport,mid,Novosibirsk Tolmachev,OVB,terminal,UNNT,OVB,http://en.wikipedia.org/wiki/Tolmachevo_Airport,8,1,1,82.66715245,55.00958471
14,9,Airport,mid and military,Zaporozhye Int'l,OZH,runway,UKDE,OZH,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,8,1,1,35.30187286,47.87326356
15,9,Airport,mid,Simpang Tiga,PKU,terminal,WIBB,PKU,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,8,1,1,101.4465693,0.464600873
16,9,Airport,mid,Rota Int'l,ROP,terminal,PGRO,ROP,http://en.wikipedia.org/wiki/Rota_International_Airport,8,1,1,145.2439803,14.1717713
17,9,Airport,mid,Surgut,SGC,terminal,USRR,SGC,http://en.wikipedia.org/wiki/Surgut_Airport,8,1,1,73.40849648,61.34016722
18,9,Airport,mid,Tiruchirappalli,TRZ,terminal,VOTR,TRZ,http://en.wikipedia.org/wiki/Tiruchirappalli_Airport,8,1,1,78.70895787,10.76035713
19,9,Airport,mid,Turbat Int'l,TUK,terminal,OPTU,TUK,http://en.wikipedia.org/wiki/Turbat_International_Airport,8,1,1,63.02793335,25.98879459
20,9,Airport,mid,Quetta Int'l,UET,terminal,OPQT,UET,http://en.wikipedia.org/wiki/Quetta_International_Airport,8,1,1,66.94873115,30.24904319
21,9,Airport,mid,Zahedan Int'l,ZAH,terminal,OIZH,ZAH,http://en.wikipedia.org/wiki/Zahedan_International_Airport,8,1,1,60.90070856,29.4752942
22,9,Airport,mid and military,Abdul Rachman Saleh,MLG,ramp,WARA,MLG,http://en.wikipedia.org/wiki/Abdul_Rachman_Saleh_Airport,8,1,1,112.7114186,-7.929980028
23,9,Airport,mid,Barnaul,BAX,ramp,UNBB,BAX,http://en.wikipedia.org/wiki/Barnaul_Airport,8,1,1,83.55045321,53.36338508
24,9,Airport,military mid,Adampur,VIAX,runway,VIAX,,,8,1,1,75.75848285,31.43294224
25,9,Airport,military,Bareilly,VIBY,runway,VIBY,,http://en.wikipedia.org/wiki/Bareilly_Airport,8,1,1,79.45200269,28.42180872
26,9,Airport,small,Dhamial,OPQS,runway,OPQS,,http://en.wikipedia.org/wiki/Dhamial_Army_Airbase,8,1,1,73.03204984,33.56141463
27,9,Airport,major,Cheongju Int'l,CJJ,terminal,RKTU,CJJ,http://en.wikipedia.org/wiki/Cheongju_International_Airport,8,1,1,127.4959161,36.72202278
28,9,Airport,mid and military,Gwangju,KWJ,terminal,RKJJ,KWJ,http://en.wikipedia.org/wiki/Gwangju_Airport,8,1,1,126.8108395,35.14000514
29,9,Airport,mid,Daegu Int'l,TAE,terminal,RKTN,TAE,http://en.wikipedia.org/wiki/Daegu_Airport,8,1,1,128.6375377,35.8999278
30,9,Airport,mid,Ulsan,USN,terminal,RKPU,USN,http://en.wikipedia.org/wiki/Ulsan_Airport,8,1,1,129.355731,35.59289575
31,9,Airport,mid,Radin Inten II,WIIT,terminal,WIAT,TKG,http://en.wikipedia.org/wiki/Radin_Inten_II_Airport,8,1,1,105.1760604,-5.242566777
32,9,Airport,military,Allahabad,IXD,ramp,VIAL,IXD,http://en.wikipedia.org/wiki/Allahabad_Airport,8,1,1,81.73172715,25.44352203
33,9,Airport,mid,Chelyabinsk,CEK,terminal,USCC,CEK,http://en.wikipedia.org/wiki/Chelyabinsk_Airport,8,1,1,61.51225897,55.29779195
34,8,Airport,military mid,Tainan,TNN,ramp,RCNN,TNN,http://en.wikipedia.org/wiki/Tainan_Airport,10,1,1,120.2097333,22.95066792
35,8,Airport,military mid,Taichung,RMQ,ramp,RCMQ,RMQ,http://en.wikipedia.org/wiki/Taichung_Airport,10,1,1,120.6307035,24.26665556
36,8,Airport,mid,Rotterdam The Hague,RTM,terminal,EHRD,RTM,http://en.wikipedia.org/wiki/Rotterdam_The_Hague_Airport,10,1,1,4.43384435,51.94913019
37,8,Airport,mid,Voronezh-Chertovitskoye,VOZ,terminal,UUOO,VOZ,http://en.wikipedia.org/wiki/Voronezh_International_Airport,10,1,1,39.22544964,51.81261713
38,8,Airport,major,Liverpool John Lennon,LPL,ramp,EGGP,LPL,http://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,10,1,1,-2.858620658,53.33637511
39,8,Airport,mid,Vishakapatnam,VTZ,terminal,VEVZ,VTZ,http://en.wikipedia.org/wiki/Visakhapatnam_Airport,10,1,1,83.22352164,17.72795774
40,8,Airport,major,Sultan Hasanuddin Int'l,UPG,terminal,WAAA,UPG,http://en.wikipedia.org/wiki/Sultan_Hasanuddin_International_Airport,10,1,1,119.5456913,-5.058936895
41,8,Airport,mid,Vava'u Int'l,VAV,terminal,NFTV,VAV,http://en.wikipedia.org/wiki/Vava'u_International_Airport,10,1,1,-173.9680939,-18.58600586
42,8,Airport,major,Newcastle Int'l,NCL,terminal,EGNT,NCL,http://en.wikipedia.org/wiki/Newcastle_Airport,10,1,1,-1.710345784,55.03708486
43,8,Airport,mid,Goloson Int'l,LCE,terminal,MHLC,LCE,http://en.wikipedia.org/wiki/Golos%C3%B3n_International_Airport,10,1,1,-86.8514685,15.74515967
44,8,Airport,major,Madinah Int'l,MED,terminal,OEMA,MED,http://en.wikipedia.org/wiki/Prince_Mohammad_Bin_Abdulaziz_Airport,10,1,1,39.69913596,24.54423396
45,8,Airport,mid,Mirabel Int'l,YMX,terminal,CYMX,YMX,http://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport,10,1,1,-74.0287383,45.6832251
46,8,Airport,mid,Palanga Int'l,PLQ,terminal,EYPA,PLQ,http://en.wikipedia.org/wiki/Palanga_International_Airport,10,1,1,21.0974464,55.97134262
47,8,Airport,mid,Jaipur Int'l,JAI,terminal,VIJP,JAI,http://en.wikipedia.org/wiki/Jaipur_International_Airport,10,1,1,75.80101042,26.82117981
48,8,Airport,mid,Sonari,IXW,terminal,VEJS,IXW,http://en.wikipedia.org/wiki/Sonari_Airport,10,1,1,86.17246624,22.81541451
49,8,Airport,mid,Yenisehir,YEI,ramp,LTBR,YEI,http://en.wikipedia.org/wiki/Yeni%C5%9Fehir_Airport,10,1,1,29.54492,40.2555395
50,8,Airport,major,Sakirpasa,ADA,terminal,LTAF,ADA,http://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,10,1,1,35.29696143,36.98520906
51,8,Airport,mid,Kodiak,ADQ,ramp,PADQ,ADQ,http://en.wikipedia.org/wiki/Kodiak_Airport,10,1,1,-152.4856385,57.74859211
52,8,Airport,major,Amarillo Int'l,AMA,terminal,KAMA,AMA,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,10,1,1,-101.7053528,35.21840319
53,8,Airport,mid,Alice Springs,ASP,terminal,YBAS,ASP,http://en.wikipedia.org/wiki/Alice_Springs_Airport,10,1,1,133.902918,-23.801968
54,8,Airport,mid and military,Raja Sansi Int'l,ATQ,terminal,VIAR,ATQ,http://en.wikipedia.org/wiki/Raja_Sansi_International_Airport,10,1,1,74.80715597,31.70682203
55,8,Airport,mid,Biju Patnaik,BBI,terminal,VEBS,BBI,http://en.wikipedia.org/wiki/Biju_Patnaik_Airport,10,1,1,85.81688995,20.25266598
56,8,Airport,mid,Bethel,BET,runway,PABE,BET,http://en.wikipedia.org/wiki/Bethel_Airport,10,1,1,-161.838987,60.77873798
57,8,Airport,mid,Palonegro,BGA,terminal,SKBG,BGA,http://en.wikipedia.org/wiki/Palonegro_International_Airport,10,1,1,-73.18092077,7.127709154
58,8,Airport,major,Birmingham Int'l,BHM,terminal,KBHM,BHM,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),10,1,1,-86.75237736,33.56186728
59,8,Airport,mid,Broken Hill,BHQ,terminal,YBHI,BHQ,http://en.wikipedia.org/wiki/Broken_Hill_Airport,10,1,1,141.4704073,-31.99899674
60,8,Airport,major,Logan Int'l,BIL,terminal,KBIL,BIL,http://en.wikipedia.org/wiki/Billings_Logan_International_Airport,10,1,1,-108.5369294,45.80368557
